tokenId,tickLower,tickUpper,liquidity
1003930,197230,199580,0
1003931,197710,199110,0
1003942,190000,198470,0
1003944,196280,198290,0
100395,198200,198210,0
1003969,-887270,887270,0
1003997,196700,199920,0
1004030,198160,198360,0
1004040,197690,198910,0
1004052,197850,198560,0
1004055,197680,199140,0
1004067,196260,200310,0
1004068,196260,200310,0
1004070,198140,198340,0
1004073,198140,198350,0
1004088,353300,355880,0
1004111,193380,198570,0
1004139,-887270,887270,9977921479238
1004172,198700,201090,0
1004174,197310,198080,0
100418,198320,198370,0
1004188,197800,198660,0
1004191,354160,355340,0
1004192,198070,198280,0
1004206,197310,198490,0
1004218,198070,198270,0
1004220,196770,199360,0
100424,197540,198720,0
1004249,-887270,887270,0
1004253,197880,198070,0
1004290,195300,200460,0
1004293,197900,198100,0
1004296,193380,198390,0
100432,198320,198340,1147770206691903
1004322,197440,198700,0
1004348,198070,198280,0
1004350,198070,198280,0
1004362,198080,198910,0
1004371,197880,198070,0
1004413,194510,201170,0
1004414,198030,198230,0
1004415,196320,199950,0
1004457,198070,199350,0
100446,198190,198230,424633036024159
1004478,197510,198900,0
1004480,197310,198890,0
1004489,197840,198560,0
100449,197870,198760,25754023399426
1004490,196770,199430,0
1004493,197230,199350,0
1004523,197700,198610,0
100462,195720,199470,0
100468,197870,198760,24834292629283
1004688,197650,199530,0
100469,198160,198940,0
1004697,198090,198490,0
1004710,196250,198070,0
1004716,198070,199350,0
1004721,196250,198070,0
100473,197870,198760,26203807977410
1004734,197130,198620,0
1004737,197520,198620,0
1004782,197890,198090,0
1004791,197520,198530,0
1004808,197800,198160,0
1004872,195770,200310,116959833895
1004906,197510,201930,0
100493,198250,198300,0
1004931,197410,198420,0
1004982,276320,887270,0
1005032,196210,198970,0
1005038,-887270,887270,199520787467
1005057,198030,198640,13283408140228
1005065,196840,199060,0
1005068,196990,198840,0
1005070,197480,198490,0
1005080,196910,198910,0
1005086,197610,198370,0
1005107,197200,198660,0
1005108,198070,199350,0
1005115,196250,198070,0
1005117,197540,198700,0
1005121,193630,201360,5592337721726
1005143,196940,198580,0
1005149,-887270,887270,0
1005151,197510,198620,0
1005159,-887270,887270,3868645790029
1005184,197880,198360,0
1005186,191150,198000,0
1005189,196680,198120,0
1005212,-887270,887270,0
1005232,196160,206190,0
1005245,197980,199360,0
1005252,196770,198910,0
1005309,195940,199930,0
1005314,197300,198800,0
1005323,193380,198180,0
1005363,197530,198250,0
1005369,348770,354960,0
1005372,195610,198060,0
1005375,191150,197980,0
1005395,197470,198590,0
1005404,197820,198630,0
1005439,198050,198060,0
1005453,354280,355450,0
1005463,197200,198370,0
1005471,198040,198240,0
1005473,197690,198480,0
1005483,198120,198140,0
1005484,198110,198120,0
1005493,197250,199000,0
1005494,196250,201230,0
1005509,-887270,195200,0
1005510,-887270,195200,0
1005511,200310,887270,0
1005512,195200,200310,0
1005523,196030,200410,0
1005525,197910,198290,0
1005543,197310,198910,0
1005546,197300,201370,0
1005551,196250,198070,0
1005553,197880,198070,0
1005559,-887270,887270,0
100556,198220,199660,0
1005573,197830,198030,0
1005599,197700,198200,0
1005606,-887270,887270,0
100565,198230,198410,0
1005690,197360,197960,0
100571,194390,198330,0
1005711,197660,197860,0
1005739,197590,197740,0
1005743,194660,201530,0
1005770,196260,200310,0
1005794,195480,197760,0
1005800,195390,197820,0
1005805,196990,198000,0
1005813,197410,197610,0
1005820,197270,198480,0
1005833,197220,198070,0
1005841,333360,887270,0
1005852,197170,197740,0
1005879,197240,198560,0
1005897,195020,199080,0
1005909,197180,197380,0
1005911,196940,197680,0
1005945,193360,200180,0
1005964,197340,197460,0
100597,196260,200310,0
1005984,195360,198730,0
1006000,-887270,887270,0
1006027,196940,197970,0
1006032,196260,199360,0
100604,191350,205330,0
1006042,196870,197910,0
1006074,196430,198080,0
1006079,197320,197520,0
100609,198290,198580,0
1006113,197090,197690,0
1006118,197880,198160,0
1006147,196370,198400,0
100616,196730,198740,0
1006183,196570,197580,0
100620,197680,199360,0
1006207,196980,197180,0
1006213,195000,200060,0
100622,198240,198500,0
1006223,195480,197550,0
1006237,196940,199830,0
1006266,-887270,887270,52445827751
1006303,-887270,887270,0
1006311,197020,198600,0
1006336,197310,197490,0
1006337,196230,198190,0
1006340,197490,197680,0
1006394,196160,198010,0
1006395,196650,197530,0
1006405,196950,197310,0
1006410,196650,197700,0
1006419,195740,199090,0
1006431,196220,198050,0
1006440,192220,200970,0
100646,196250,200310,0
1006466,197090,197960,0
1006469,197080,197090,0
1006471,195840,197860,0
1006476,196920,197390,0
100649,197690,198910,0
1006491,196980,198120,0
1006494,196140,198230,0
1006503,196940,197680,0
1006509,195930,199820,0
1006517,195610,199360,0
1006545,195610,196920,0
1006563,196850,197050,0
1006572,196710,198100,0
1006582,195170,197930,0
1006588,196890,198180,0
1006600,196510,197290,0
1006603,196300,197800,0
1006606,354570,356220,0
1006614,196600,197520,0
1006616,-887270,887270,0
1006633,195000,199360,0
1006637,355340,356220,0
1006642,196410,197310,0
1006646,196020,198020,0
1006647,196900,197630,0
1006662,-887270,887270,568895970016
1006680,196400,198160,0
1006704,196960,197020,0
1006717,195460,199130,0
1006749,-887270,887270,0
1006765,195770,197880,0
1006787,196950,198490,0
1006788,-887270,887270,0
1006789,196700,197780,0
1006795,196940,196950,0
1006804,197000,197020,0
1006813,355700,356880,0
1006821,196190,197980,0
1006822,195770,196950,0
1006850,191150,198080,0
1006863,196980,197180,0
1006869,-887270,191150,0
1006874,198080,887270,0
100688,198210,198320,0
1006881,196560,197770,0
1006919,192200,198080,0
1006942,196820,197020,0
1006943,196860,197210,0
1006947,196420,197500,0
1006949,194870,198940,0
1006955,196860,198800,0
1006959,195750,197610,0
1006962,195740,197610,0
1006968,195830,197960,0
1006979,-887270,887270,0
1006982,-887270,887270,0
1006988,196250,197680,0
1006994,193890,201360,0
1006999,196770,198080,0
1007009,196060,197320,0
1007013,196800,198280,0
1007034,196170,197170,0
1007036,195410,197820,0
1007053,196650,196850,0
1007055,196180,198290,0
1007066,195470,198010,0
1007089,195450,197990,0
100711,195460,198400,0
1007117,197180,197270,0
1007120,195900,198770,0
1007127,196190,197840,0
1007128,196380,197430,68967570782517
1007143,196720,197960,0
1007160,196740,197940,0
1007197,196150,197480,0
1007212,196600,198280,0
1007223,196850,197050,0
1007227,196130,197920,0
1007248,195930,197940,0
100726,198080,199130,0
100728,198310,198320,0
1007289,196880,197270,0
1007290,196880,197130,0
1007296,196940,197560,0
1007299,196290,197930,0
1007302,195920,197370,0
1007320,196570,197580,0
1007326,196600,198490,0
1007327,-887270,887270,0
1007329,196090,198280,0
1007331,196250,198030,0
1007343,196250,198030,0
1007348,196960,197160,0
1007389,196930,196960,0
10074,194430,194710,194408905116698
1007408,196860,197180,0
1007409,196120,197930,0
1007432,196960,197120,0
1007469,-887270,887270,0
100752,197810,199470,0
1007537,353730,357930,0
1007545,196990,198840,0
1007565,-887270,887270,0
1007589,195610,199360,0
1007590,196330,197070,0
1007594,197310,197490,0
1007597,197490,197680,0
1007605,197180,197270,0
1007623,196680,197880,0
1007673,197100,197300,0
1007677,194710,199820,0
1007709,-887270,887270,0
1007744,196950,197150,0
1007751,195930,198060,0
1007763,195780,198510,0
1007795,196810,197230,0
1007805,197350,198450,0
1007813,196600,198280,0
1007814,196910,197820,0
1007822,353290,354570,0
1007824,194080,198490,0
1007874,196770,197240,0
1007876,197090,197290,0
1007888,196250,198490,0
1007889,196320,199270,18304612318630
1007903,197060,197510,0
1007904,196260,198000,0
1007913,196840,198460,0
1007918,196960,197970,0
1007923,197550,197720,0
1007927,197420,197620,0
1007954,196610,198480,0
1007960,196930,198250,0
1007967,196130,199170,0
100799,196250,199370,0
1008020,197430,198440,0
1008048,195890,199960,0
1008051,198040,198240,0
1008073,198280,199820,0
1008082,196600,198510,0
1008116,197960,198160,0
1008125,198080,199360,0
1008154,197310,198240,0
1008160,197780,198100,0
1008166,197310,198910,0
100818,197300,198490,0
1008212,196630,198960,0
1008213,197310,198080,0
1008239,198370,198380,0
1008262,-887270,887270,0
1008272,198040,198200,0
1008290,196680,199300,0
1008292,197830,198330,0
10083,189490,199820,0
1008305,193630,203190,0
1008307,195930,198490,0
1008310,-887270,887270,198236630518
1008314,197850,198190,0
1008320,196940,198100,0
1008338,197780,197980,0
1008358,195930,199450,0
1008396,197240,198490,0
1008418,197140,198610,0
1008420,353390,355880,0
1008446,196250,198070,0
1008452,197690,198080,0
1008454,-887270,887270,0
1008465,195610,203880,0
1008482,197890,199340,0
1008484,197270,198430,0
1008485,-887270,887270,0
1008497,196880,198490,0
100851,198240,198360,0
1008514,196580,198650,0
1008518,-887270,887270,0
1008524,196970,198190,0
1008533,197290,198590,0
1008535,-887270,887270,0
1008541,354490,354960,0
1008559,-887270,887270,0
1008562,353730,355340,0
1008567,196950,199360,0
1008609,353510,355520,0
1008636,196870,198900,0
1008644,196250,197880,0
1008664,189320,201940,0
1008696,-887270,887270,0
1008724,195920,199350,0
1008780,-887270,887270,0
1008811,197900,197920,66394930
1008829,197320,197930,0
1008832,197260,198960,0
1008853,197880,199350,0
1008856,196730,198910,0
1008878,196920,198690,0
1008892,196950,197940,0
1008914,197780,198210,0
1008919,196750,201910,0
1008925,196780,198670,0
1008999,197970,198170,0
1009024,196880,198620,0
1009027,196950,198080,0
1009058,197710,198060,0
1009073,-887270,887270,0
1009152,-887270,887270,0
1009187,197240,198500,0
